Date,Description,Amount,Type
01/01/2025,SALARY CREDIT - TCS,85000.00,Cr
01/01/2025,UPI/HOUSE RENT/9876543210/Arun Kumar,15000.00,Dr
02/01/2025,UPI/SWIGGY/123456789/ORDER12345,450.50,Dr
03/01/2025,UPI/NETFLIX SUBSCRIPTION/321654987,499.00,Dr
05/01/2025,UPI/AMAZON/456789123/ORD98765,2590.00,Dr
07/01/2025,UPI/OLA AUTOS/654321987/RIDE5678,342.00,Dr
08/01/2025,UPI/ZOMATO/987654321/ORDER45678,625.00,Dr
10/01/2025,EMI-HDFC HOME LOAN - 12345678,15000.00,Dr
12/01/2025,UPI/BIGBASKET/123456789/ORDER34567,1845.00,Dr
14/01/2025,UPI/IRCTC/987654321/TICKET1234,1235.00,Dr
15/01/2025,UPI/SPOTIFY PREMIUM/321654987,119.00,Dr
16/01/2025,UPI/FLIPKART/456789123/ORD56789,3499.00,Dr
18/01/2025,UPI/PETROL PUMP/654321987/FUEL123,2000.00,Dr
20/01/2025,SIP INVESTMENT - HDFC MUTUAL FUND,5000.00,Dr
22/01/2025,UPI/MYNTRA/123456789/ORD67890,1495.00,Dr
23/01/2025,UPI/FASTAG/987654321/TOLL456,150.00,Dr
25/01/2025,INTEREST CREDITED - SAVING ACCOUNT,450.00,Cr
26/01/2025,UPI/STARBUCKS/321654987/CAFE123,380.00,Dr
28/01/2025,ELECTRICITY BILL - TPDDL,2500.00,Dr
30/01/2025,UPI/UBER/654321987/RIDE890,285.00,Dr
02/02/2025,SALARY CREDIT - TCS,85000.00,Cr
02/02/2025,UPI/HOUSE RENT/9876543210/Arun Kumar,15000.00,Dr
03/02/2025,UPI/NETFLIX SUBSCRIPTION/321654987,499.00,Dr
05/02/2025,UPI/SWIGGY/123456789/ORDER67890,525.00,Dr
07/02/2025,UPI/OLA AUTOS/654321987/RIDE8901,418.00,Dr
10/02/2025,EMI-HDFC HOME LOAN - 12345678,15000.00,Dr
12/02/2025,UPI/BIGBASKET/123456789/ORDER56789,2130.00,Dr
15/02/2025,UPI/SPOTIFY PREMIUM/321654987,119.00,Dr
18/02/2025,UPI/PETROL PUMP/654321987/FUEL456,1800.00,Dr
20/02/2025,SIP INVESTMENT - HDFC MUTUAL FUND,5000.00,Dr
22/02/2025,UPI/FLIPKART/456789123/ORD89012,899.00,Dr
25/02/2025,UPI/AIRTEL RECHARGE/987654321,199.00,Dr
27/02/2025,NEFT-ICICI-REFUND-AMAZON RETAIL,799.00,Cr
01/03/2025,SALARY CREDIT - TCS,85000.00,Cr
01/03/2025,UPI/HOUSE RENT/9876543210/Arun Kumar,15000.00,Dr
02/03/2025,UPI/SWIGGY/123456789/ORDER90123,390.00,Dr
03/03/2025,UPI/NETFLIX SUBSCRIPTION/321654987,499.00,Dr
05/03/2025,UPI/ZOMATO/987654321/ORDER34567,780.00,Dr
07/03/2025,UPI/UBER/654321987/RIDE2345,310.00,Dr
10/03/2025,EMI-HDFC HOME LOAN - 12345678,15000.00,Dr
12/03/2025,UPI/AMAZON/456789123/ORD12345,3200.00,Dr
15/03/2025,UPI/SPOTIFY PREMIUM/321654987,119.00,Dr
18/03/2025,UPI/PETROL PUMP/654321987/FUEL789,1900.00,Dr
20/03/2025,SIP INVESTMENT - HDFC MUTUAL FUND,5000.00,Dr
22/03/2025,UPI/BIGBASKET/123456789/ORDER45678,1650.00,Dr
25/03/2025,INTEREST CREDITED - SAVING ACCOUNT,320.00,Cr
26/03/2025,UPI/MYNTRA/123456789/ORD54321,2200.00,Dr
28/03/2025,ELECTRICITY BILL - BSES,2350.00,Dr
30/03/2025,UPI/FASTAG/987654321/TOLL789,180.00,Dr
